Title,Company,Level,Responsibility,Link
Senior Data Analyst - Data Analytics,Evidera,Associate," Strong organizational, time-management, prioritization and decision-making skills necessary to evaluate, plan and accomplish multiple work goals in a timely fashion. ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Able to quickly learn and apply new information, skills and procedures. ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Proactive and positive approach to tasks and projects, as well as resilience when encountering process, project, budget or client changes that are inherent in the consulting environment. ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Solid communication and interpersonal skills including the ability to quickly develop and sustain positive rapport with internal and external contacts in person, over the phone and by email. ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate, Experience presenting ideas to individuals and groups in a formal presentation setting ,https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Able to analyze complex issues and evidence, identify cause-effect relationships, and generate effective solutions ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Delivers a positive internal/external client experience; listens and understand the client's needs, and provides solutions that meet or exceed client expectations ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Data Analytics,Evidera,Associate," Demonstrates sound professional judgment in analyzing, responding to, and resolving enquiries, issues and escalations. ",https://ca.linkedin.com/jobs/view/senior-data-analyst-data-analytics-at-evidera-1609545908?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate,"Lead analytical projects to support our Product and Growth teams. Deliver quantitative results, business understanding and strategic insights to help make better data-driven decisions",https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate,"Support our PR team by transforming complex information in short, compelling, and easy to understand studies",https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate,"Design and implement ad hoc and automated analysis scripts, develop and deliver your tables, charts and interactive tools to present your results",https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate,"Work with key stakeholders across a fast-paced, collaborative environment",https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate,"A degree in Math, Statistics, Computer Science, Engineering or other quantitative discipline",https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Senior Data Analyst - Air,Hopper,Associate,Strong analytical and creative problem-solving skills,https://ca.linkedin.com/jobs/view/senior-data-analyst-air-at-hopper-1644057046?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=3&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
